iata_code,name,city,country,lat,lng,is_international,label,source_url
CYP,Calbayog Airport,Calbayog City,Philippines,12.072706,124.545092,false,Calbayog City (CYP),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CYS,Cheyenne Rgnl Jerry Olson Fld,Cheyenne,United States,41.155722,-104.811839,false,Cheyenne (CYS),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CYX,Cherskiy Airport,Cherskiy,Russia,68.7406,161.338,false,Cherskiy (CYX),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CYZ,Cauayan Airport,Cauayan,Philippines,16.929861,121.753036,false,Cauayan (CYZ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CZE,Jose Leonardo Chirinos,Coro,Venezuela,11.414867,-69.681656,false,Coro (CZE),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CZH,Municipal,Corozal,Belize,18.3822,-88.4119,false,Corozal (CZH),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CZL,Mohamed Boudiaf Intl,Constantine,Algeria,36.276028,6.620386,true,Constantine (CZL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CZM,Cozumel Intl,Cozumel,Mexico,20.522403,-86.925644,true,Cozumel (CZM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CZS,Cruzeiro do Sul,Cruzeiro do Sul,Brazil,-7.599906,-72.769489,false,Cruzeiro do Sul (CZS),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CZU,Las Brujas,Corozal,Colombia,9.332742,-75.285594,false,Corozal (CZU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
CZX,Changzhou,Changzhou,China,31.941667,119.711667,false,Changzhou (CZX),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAB,Daytona Beach Intl,Daytona Beach,United States,29.179917,-81.058056,true,Daytona Beach (DAB),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAC,Zia Intl,Dhaka,Bangladesh,23.843333,90.397781,true,Dhaka (DAC),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAD,Danang Intl,Danang,Vietnam,16.043917,108.19937,true,Danang (DAD),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAL,Dallas Love Fld,Dallas,United States,32.847111,-96.851778,false,Dallas (DAL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAR,Mwalimu Julius K Nyerere Intl,Dar Es Salaam,Tanzania,-6.878111,39.202625,true,Dar Es Salaam (DAR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAT,Datong Airport,Datong,China,40.0603,113.482,false,Datong (DAT),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAU,Daru Airport,Daru,Papua New Guinea,-9.08676,143.208,false,Daru (DAU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAV,Enrique Malek Intl,David,Panama,8.391003,-82.434992,true,David (DAV),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAX,Dachuan Airport,Dazhou,China,31.3,107.5,false,Dazhou (DAX),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DAY,James M Cox Dayton Intl,Dayton,United States,39.902375,-84.219375,true,Dayton (DAY),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DBA,Dalbandin Airport,Dalbandin,Pakistan,28.8783,64.3998,false,Dalbandin (DBA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DBO,Dubbo,Dubbo,Australia,-32.216667,148.574722,false,Dubbo (DBO),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DBQ,Dubuque Rgnl,Dubuque IA,United States,42.402,-90.709472,false,Dubuque IA (DBQ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DBV,Dubrovnik,Dubrovnik,Croatia,42.561353,18.268244,false,Dubrovnik (DBV),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DCA,Ronald Reagan Washington Natl,Washington,United States,38.852083,-77.037722,false,Washington (DCA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DCM,Mazamet,Castres,France,43.55625,2.289183,false,Castres (DCM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DCY,Yading Daocheng,Daocheng,China,29.3231,100.0533,false,Daocheng (DCY),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DDC,Dodge City Regional Airport,Dodge City,United States,37.7634,-99.9656,false,Dodge City (DDC),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DDG,Dandong,Dandong,China,40.0255,124.2866,false,Dandong (DDG),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DEA,Dera Ghazi Khan Airport,Dera Ghazi Khan,Pakistan,29.961011,70.485925,false,Dera Ghazi Khan (DEA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DEB,Debrecen,Debrecen,Hungary,47.488917,21.615333,false,Debrecen (DEB),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DEC,Decatur,Decatur,United States,39.834564,-88.865689,false,Decatur (DEC),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DED,Dehradun,Dehra Dun,India,30.189689,78.180256,false,Dehra Dun (DED),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DEE,Mendeleevo,Yuzhno-Kurilsk,Russia,43.5739,145.4107,false,Yuzhno-Kurilsk (DEE),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DEL,Indira Gandhi Intl,Delhi,India,28.5665,77.103088,true,Delhi (DEL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DEN,Denver Intl,Denver,United States,39.861656,-104.673178,true,Denver (DEN),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DFW,Dallas Fort Worth Intl,Dallas-Fort Worth,United States,32.896828,-97.037997,true,Dallas-Fort Worth (DFW),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DGA,Dangriga Airport,Dangriga,Belize,16.966667,-88.216667,false,Dangriga (DGA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DGO,Durango Intl,Durango,Mexico,24.124194,-104.528014,true,Durango (DGO),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DGT,Dumaguete,Dumaguete,Philippines,9.333714,123.300472,false,Dumaguete (DGT),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DHI,Dhangarhi,Dhangarhi,Nepal,28.753333,80.581944,false,Dhangarhi (DHI),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DHM,Kangra Airport,Kangra,India,32.1651,76.2634,false,Kangra (DHM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DHN,Dothan Rgnl,Dothan,United States,31.321339,-85.449628,false,Dothan (DHN),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIB,Dibrugarh Airport,Dibrugarh,India,27.4839,95.0169,false,Dibrugarh (DIB),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIE,Arrachart,Antsiranana,Madagascar,-12.3494,49.291747,false,Antsiranana (DIE),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIG,Diqing Airport,Shangri-La,China,27.7936,99.6772,false,Shangri-La (DIG),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIJ,Longvic,Dijon,France,47.26889,5.09,false,Dijon (DIJ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States,46.7975,-102.801944,false,Dickinson (DIK),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIL,Presidente Nicolau Lobato Intl,Dili,East Timor,-8.546553,125.524719,true,Dili (DIL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIN,Dien Bien Phu Airport,Dienbienphu,Vietnam,21.397481,103.007831,false,Dienbienphu (DIN),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIR,Dire Dawa Intl,Dire Dawa,Ethiopia,9.6247,41.854203,true,Dire Dawa (DIR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIU,Diu Airport,Diu,India,20.7131,70.9211,false,Diu (DIU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
